participant,muscle,nmes,trial,session,condition,event_out,left,right,img_emo,img_oasis,Are you finished?,base_mood,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,muscle_order_n,Notes for Experiment,Notes DAO,Notes ZM,height,weight,age,sex,ethnicity,education,prior_exp,reason,reason_open,worried,excited,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,BMI,TAS_total,left_ma,right_ma,nmes_int,neg_affect,pos_affect,corrected_AU12_r,corrected_AU15_r,image,fnmes,valence,arousal,discomfort,image_present
1,dao,50,63,2,2,66,300,300,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,15,15,15,16,30,0,0.04072289156626506,none,dao 50,NA,NA,9.895229118329468,0
1,zm,0,10,1,3,22,0,0,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0.006385542168674697,0.010843373493975888,none,off,NA,NA,NA,0
1,zm,0,13,1,3,22,0,0,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0,0.024629948364888122,none,off,73.71543890177881,54.60713940448569,0,0
1,zm,0,17,1,3,44,0,0,pos,images\Beach_7.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,3.614457831325305e-4,0.02635111876075731,congruent emotion,off,68.20197699149266,70.31672950502707,0,1
1,zm,0,18,1,3,44,0,0,pos,images\Beach_7.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0,-0.0340275387263339,congruent emotion,off,NA,NA,NA,1
1,zm,0,23,1,3,44,0,0,pos,images\Galaxy_7.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0,0.013218588640275386,congruent emotion,off,NA,NA,0,1
1,zm,0,23,1,3,44,0,0,pos,images\Beach_1.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0,0.013218588640275386,congruent emotion,off,73.71543890177881,NA,NA,1
1,zm,0,31,1,3,44,0,0,pos,images\Flowers_2.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,1.0327022375214986e-4,0.026368330464716008,congruent emotion,off,NA,NA,0,1
1,zm,0,7,1,3,22,0,0,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0,0.053752151462994835,none,off,NA,NA,0,0
1,zm,100,1,1,1,20,450,425,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,22.5,21.25,21.875,16,30,0.5932530120481928,-0.32259896729776244,none,zm 100,50.98184938128384,53.17212877030162,57.70374129930394,0
